source;entiteit;veld;label;min;max;type;default;choice_list
group_61544a038d768;Individual;;Identifiers;0;;tab;;
group_61544a038d768;Individual;title;Title;0;;text;;
group_61544a038d768;Individual;firstname;First Name;1;;text;;
group_61544a038d768;Individual;middlename;Middle Name;0;;text;;
group_61544a038d768;Individual;surname;Surname;1;;text;;
group_61544a038d768;Individual;maidenname;Maiden Name;0;;text;;
group_61544a038d768;Individual;suffix;Suffix;0;;text;;
group_61544a038d768;Individual;aliases;Aliases;0;;repeater;;
group_61544a038d768;Individual;individualid;Individual ID;0;;text;;
group_61544a038d768;Individual;cohort;Primary Cohort;1;;select;Unknown;Liverpool|Bristol|London|Minor Ports|Corporate|Unknown
group_61544a038d768;Individual;other_cohorts;Other cohorts;0;;checkbox;;Liverpool|Bristol|London|Minor Ports|Corporate|Unknown
group_61544a038d768;Individual;;Personal;0;;tab;;
group_61544a038d768;Individual;sex;Sex;0;;select;;male|female|maybe-male|maybe-female
group_61544a038d768;Individual;religion;Religion;0;;select;;Church of England|Church of Scotland|Church of Ireland|Roman Catholic|Jewish|Anglican – Jewish convert|Quaker|Nonconformist or ‘Dissenter’|Nonconformist - Congregationalist|Nonconformist - Baptist|Nonconformist - Methodist|Nonconformist – Moravian|Nonconformist - Unitarian|Nonconformist - Presbyterian|Huguenot
group_61544a038d768;Individual;social_background;Social background;0;;select;;Labourer|Tenant farmer|Yeoman farmer|Craft|Trade|Professional|Gentry|Nobility
group_61544a038d768;Individual;social_outcome;Social outcome;0;;select;;Labourer|Tenant farmer|Yeoman farmer|Craft|Trade|Professional|Gentry|Nobility
group_61544a038d768;Individual;political_affiliation;Political Affiliation;0;;select;;Parliamentary|Royalist|Whig|Tory|Shifting|Other
group_61544a038d768;Individual;occupation_of_husband;Occupation of husband;0;;text;;
group_61544a038d768;Individual;occupation_of_father;Occupation of father;0;;text;;
group_61544a038d768;Individual;family_members;Family Members;0;;repeater;;
group_61544a038d768;Individual;political_offices;Political offices held;0;;repeater;;
group_61544a038d768;Individual;bankruptcies;Bankruptcies;0;;repeater;;
group_61544a038d768;Individual;geographic_experience;Geographic Experience;0;;repeater;;
group_61544a038d768;Individual;internal_migrant;Internal Migrant?;0;;group;;
group_61544a038d768;Individual;foreign_born;Foreign born?;0;;group;;
group_61544a038d768;Individual;supplier_to_slave_trade_voyages;Supplier to Slave Trade Voyages?;0;;group;;
group_61544a038d768;Individual;creditor_to_slave_trade_voyages;Creditor to Slave Trade Voyages?;0;;group;;
group_61544a038d768;Individual;philanthropy;Philanthropy?;0;;group;;
group_61544a038d768;Individual;plantation_owner;Plantation owner?;0;;group;;
group_61544a038d768;Individual;corporate_investor;Corporate Investor?;0;;group;;
group_61544a038d768;Individual;predominant_slave_trading;Was slave trading their predominant commercial activity?;0;;radio;?;1|0|?
group_61544a038d768;Individual;slaveholder;Slaveholder?;0;;radio;?;1|0|?
group_61544a038d768;Individual;lobbyist_for_the_slave_trade;Lobbyist for the slave trade?;0;;radio;?;1|0|?
group_61544a038d768;Individual;;Dates & Locations;0;;tab;;
group_61544a038d768;Individual;residencies;Residencies;0;;repeater;;
group_61544a038d768;Individual;birth;Birth;0;;group;;
group_61544a038d768;Individual;death;Death;0;;group;;
group_61544a038d768;Individual;burial;Burial;0;;group;;
group_61544a038d768;Individual;christening;Christening;0;;group;;
group_61544a038d768;Individual;knighthood;Knighthood;0;;group;;
group_61544a038d768;Individual;baronetcy;Baronetcy;0;;group;;
group_61544a038d768;Individual;peerage;Peerage;0;;group;;
group_61544a038d768;Individual;;Education & Work;0;;tab;;
group_61544a038d768;Individual;occupation;Occupation;0;;select;;
group_61544a038d768;Individual;occupation_details;Occupation details;0;;textarea;;
group_61544a038d768;Individual;merchant;Merchant details;0;;group;;
group_61544a038d768;Individual;;;0;;message;;
group_61544a038d768;Individual;schools;Schools;0;;repeater;;
group_61544a038d768;Individual;universities;Universities;0;;repeater;;
group_61544a038d768;Individual;inns_of_court;Inns of Court;0;;repeater;;
group_61544a038d768;Individual;military_training;Military training;0;;repeater;;
group_61544a038d768;Individual;imperial_positions;Imperial positions;0;;repeater;;
group_61544a038d768;Individual;apprenticeships;Apprenticeships;0;;repeater;;
group_61544a038d768;Individual;livery_company_affiliations;Livery company affiliations;0;;repeater;;
group_61544a038d768;Individual;other_business_activities;Other business activities;0;;repeater;;
group_61544a038d768;Individual;;Legacies;0;;tab;;
group_61544a038d768;Individual;was_slave_trading_investment_profitable;Was slave trading investment profitable?;0;;radio;?;1|0|?
group_61544a038d768;Individual;will;Will;0;;group;;
group_61544a038d768;Individual;legacies;Legacies;0;;flexible_content;;
group_61544a038d768;Individual;;Investments;0;;tab;;
group_61544a038d768;Individual;investments;Investments;0;;repeater;;
group_61544a038d768;Individual;;Summary;0;;tab;;
group_61544a038d768;Individual;completion_status;Status;0;;select;In Progress;In Progress|Complete
group_61544a038d768;Individual;notes;General Notes;0;;wysiwyg;;
field_61ae452678e5e;Aliases;alias;Alias;0;;text;;
field_6155e4cd8bc2b;Family Members;name;Name;1;;text;;
field_6155e4e98bc2c;Family Members;relationship;Relationship;1;;select;;Spouse|Mother|Father|Daughter|Son|Uncle|Aunt|Brother|Sister|Mother-in-law|Father-in-law|Brother-in-law|Sister-in-law|Son-in-law|Daughter-in-law|Niece|Nephew|Cousin|Grandmother|Grandfather|Granddaughter|Grandson|Testator-Legatee|Trustee|Executor|Business Partner
field_6155e53e8bc2d;Family Members;marriage_date;Marriage Date;0;;alt_date_picker;;
field_6155e5568bc2e;Family Members;individual;Individual;0;;post_object;;
field_6155e673d4489;Family Members;relationship_notes;Relationship Notes;0;;textarea;;
field_6155e7586e7b4;Political offices held;type;Type;0;;select;;Court|Local|National|Parliament|Government|Other
field_6155e78c6e7b5;Political offices held;notes;Notes;0;;textarea;;
field_61b0b22aa1da4;Bankruptcies;date;Date;0;;alt_date_picker;;
field_61b0b236a1da5;Bankruptcies;details;Details;0;;textarea;;
field_624574b765471;Geographic Experience;continent;Continent;1;;select;;Africa|Americas|Asia|Europe
field_624574de65472;Geographic Experience;details;Details;0;;textarea;;
field_615d81023ad33;Internal Migrant;enabled;;0;;radio;?;1|0|?
field_624576d280c98;Internal Migrant;details;Details;0;;textarea;;
field_615d810d3ad34;Foreign born;enabled;;0;;radio;?;1|0|?
field_624577418a016;Foreign born;details;Details;0;;textarea;;
field_615d81243ad36;Supplier to Slave Trade Voyages;enabled;;0;;radio;?;1|0|?
field_624577718a019;Supplier to Slave Trade Voyages;details;Details;0;;textarea;;
field_615d81413ad37;Creditor to Slave Trade Voyages;enabled;;0;;radio;?;1|0|?
